,artist,title,url,gender,division,medium,colors,dated,century,culture,description
3343,"John Singleton Copley, Thomas Boylston, Jr.",Thomas Boylston II (1721-1798),https://www.harvardartmuseums.org/collections/object/299946,"male, unknown",European and American Art,Oil on canvas,"Grey, Brown, Green, Yellow, Brown, Brown, Brown, Green, Orange, Yellow",c. 1767-1769,18th century,American,
3344,Max Beckmann,Actors,https://www.harvardartmuseums.org/collections/object/300054,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Yellow, Brown, Brown",1941-1942,20th century,German,
3345,"John Singer Sargent, Abbott Lawrence Lowell",Abbott Lawrence Lowell (1856-1943),https://www.harvardartmuseums.org/collections/object/302046,"male, unknown",European and American Art,Oil on canvas,"Grey, Red, Orange, Brown, Yellow, Orange, Green, Yellow, Green, Yellow",1923-1924,20th century,American,
3346,"John Wesley Jarvis, Caroline Howard Gilman, John Vanderlyn, Henry Inman",Caroline Howard Gilman (Mrs. Samuel Gilman) (1794-1888),https://www.harvardartmuseums.org/collections/object/302054,"unknown, unknown, unknown, unknown",European and American Art,Oil on canvas,"Brown, Grey, Yellow, Brown, Brown, Brown, Brown, Orange",c. 1820,19th century,American,
3348,Liu Shiru 劉世儒,Branch of Blossoming Plum,https://www.harvardartmuseums.org/collections/object/303422,unknown,Asian and Mediterranean Art,"CONSERVATIONHanging scroll; ink on silk; with artist inscription, signature reading ""Xuehu,"" and seals","Yellow, Brown, Brown, Brown, Green",mid- to late 16th century,16th century,Chinese,"A native of Shanyin (modern Shaoxing) in Zhejiang province, Liu Shiru was one of the foremost specialists of ink plum in the sixteenth century.  He is said as a boy to have been deeply impressed by the work of a renowned fourteenth-century plum blossom painter, Wang Mian (1287-1359) and to have vowed to devote his life to mastering the subject painted by this master.  Not content with merely copying, Liu wandered the hills of his district studying plum trees to enrich his understanding of the subject.  In addition to his few extant paintings, his illustrated manual on ink-plum painting, Xuehu meipu, survives to represent his art.  Because it blooms in February, before donning its leaves, the Chinese plum (prunus mume) is associated with winter and is regarded as a symbol of strength in the face of adversity.  In addition, its blossoms symbolize feminine beauty and its weathered trunk the humble scholar.  

The artist's poem on this painting, inscribed in the upper left, reads:
A green dragon, it rears up high and seems to reach for the Milky Way
Like jade butterflies, in irregular patterns, unsoiled by mud.
Suddenly the Wind God Fengyi gives forth a wild whistle
And the splendor of spring is scattered all over, east and west.
(Translation by Hans Frankel)"
3349,Théodore Géricault,Cattle Market,https://www.harvardartmuseums.org/collections/object/303728,male,European and American Art,Oil on paper mounted on canvas,"Brown, Green, Green, Yellow, Brown, Brown, Grey, Brown, Grey, Green",1818-1819,19th century,French,
3350,Pierre-Auguste Renoir,Spring Bouquet,https://www.harvardartmuseums.org/collections/object/303729,male,European and American Art,Oil on canvas,"Green, Yellow, Grey, Grey, Grey, Green, Grey, Yellow, Red",1866,19th century,French,
3351,John Singer Sargent,In the Simplon Valley,https://www.harvardartmuseums.org/collections/object/303990,male,European and American Art,Oil on canvas,"Brown, Yellow, Brown, Green, Red, Brown, Green, Orange",c. 1909-1911,20th century,American,
3352,Erich Heckel,"To the Convalescent Woman (Triptych), center panel",https://www.harvardartmuseums.org/collections/object/304345,male,Modern and Contemporary Art,Oil on canvas,"Grey, Yellow, Brown, Grey, Green, Brown, Yellow, Brown, Orange, Green",1912-1913,20th century,German,
3353,Lyonel Feininger,Bird Cloud,https://www.harvardartmuseums.org/collections/object/304376,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Brown, Grey, Yellow, Green, Green, Green, Grey",1926,20th century,German,
3354,"John Smibert, Thomas Foxcroft",The Reverend Thomas Foxcroft (1697-1769),https://www.harvardartmuseums.org/collections/object/304513,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Grey, Grey, Green, Brown, Brown, Yellow, Brown, Yellow, Yellow",c. 1735-1745,18th century,American,
