,artist,title,url,gender,division,medium,colors,dated,century,culture,description
147,Hsu-chai Shen,A Lesson in Agriculture by the Riverside,https://www.harvardartmuseums.org/collections/object/202136,unknown,Asian and Mediterranean Art,Handscroll; ink and light colors on silk,"Red, Grey, Grey, Grey, Red, Brown",c. 1722,,Chinese,
149,Kano Sōshū,Three Sages,https://www.harvardartmuseums.org/collections/object/202173,male,Asian and Mediterranean Art,Fan-shaped painting; ink and gold on mica-coated paper,"Grey, White, Black, Grey, Grey, Grey",16th century,16th century,Japanese,
151,Fang Shishu 方士庶,Autumn Sunset Along the River,https://www.harvardartmuseums.org/collections/object/202287,unknown,Asian and Mediterranean Art,"Folding fan mounted as an album leaf; ink and light color on mica-coated paper; with artist's inscription, signature, and seals","White, Grey, Grey, Grey, Grey, Grey, Grey, Grey",dated to 1727,18th century,Chinese,"Three thatched buildings enclosed by a fence stand before a bamboo grove at the right of the composition. A group of trees with dots of red and orange to indicate the autumn colors occupies the foreground. A river, with a fisherman in a small boat, traverses the left portion of the composition. Rolling hills appear in the background."
152,Fang Shishu 方士庶,Small Bridge Over a Flowing Stream,https://www.harvardartmuseums.org/collections/object/202288,unknown,Asian and Mediterranean Art,"Folding fan mounted as an album leaf; ink and light color on mica-coated paper; with artist's inscription, signature, and seals","Red, Red, Red, Red, Red, Violet, Red, Red, Orange, Brown",dated to 1733,18th century,Chinese,"At the right of the composition stand two tile-roofed buildings, probably a scholar's study. Several pine trees and a small hillock lead to the center of the composition, where a scholar sits in a riverside pavilion. A figure in an orange robe crosses the small bridge over the stream. Rolling hills in the near background, mountain silhouettes in blue ink wash in the distant background, and pine trees at the left complete the composition."
153,Monk Musashi Hōgen,"Illustrated History of the Yūzū nenbutsu Sect (Yūzū nenbutsu engi), Vol. I",https://www.harvardartmuseums.org/collections/object/202320,male,Asian and Mediterranean Art,"One of a pair of handscrolls; ink, color and gold on paper","Brown, Brown, Brown, Orange, Grey, Grey, Brown, Orange","Muromachi period, dated 1471",15th century,Japanese,
154,Empress Dowager Cixi 慈禧,Peonies,https://www.harvardartmuseums.org/collections/object/202505,unknown,Asian and Mediterranean Art,"Hanging scroll; colors on paper; with large red square relief seal reading ""Ci Xi Huang Tai Hou Yu Bi Zhi Bao"" (Treasure made by the imperial brush of Empress Dowager Cixi)","Grey, Grey, Green, Grey, Grey, Grey, Violet, Red, Red, Grey",late 19th-early 20th Century,19th-20th century,Chinese,
155,Itō Jakuchū 伊藤若冲,Branch of Flowering Plum,https://www.harvardartmuseums.org/collections/object/202510,male,Asian and Mediterranean Art,Hanging scroll; ink on paper,"White, Grey, Grey, Grey, Grey, Black, Grey",18th-19th century,18th-19th century,Japanese,
158,Kumi Sugai 菅井汲,Fuyu,https://www.harvardartmuseums.org/collections/object/202534,male,Asian and Mediterranean Art,Oil on canvas,"Green, Grey, Grey, Green, Grey, Grey, Grey, Brown, Grey, Violet",1960,20th century,,
159,Kitagawa Sōsetsu 喜多川相説,Hibiscus Flowers and Wild Pinks,https://www.harvardartmuseums.org/collections/object/202537,male,Asian and Mediterranean Art,Hanging scroll; ink and color on paper,"Brown, Brown, Brown, Yellow, Green, Green, Red, Red, Grey","Early Edo period, mid 17th century",18th century,Japanese,"This painting depicts two seasonal flowers in an abstract and yet naturalistic composition; upright floral silhouettes rise gracefully from shadowy or imperceptible roots in a strikingly decorative design devoid of any visible ground plane. Individual plant forms are defined using a technique known as tarashikomi, in which black ink and/or mineral pigments have been splashed onto areas of still-moist ink wash, resulting in evocative pools of saturation. The evolution of such seemingly effortless and yet technically difficult decorative imagery also found expression in many other media during the Edo period (1615-1868), so that divisions between the various arts--such as painting, lacquerware, and metalwork--began to blur. Tarashikomi is one of the hallmarks of so-called Rimpa-style paintings--works done in emulation of Tawaraya Sōtatsu (died c. 1643), who is credited with having consciously evoked and updated the rich, allusive imagery of Japan's Heian-period (794-1185) past. The artist to whom this painting is attributed, Kitagawa Sōsetsu, appears to have been an accomplished and faithful mid-seventeenth-century follower in the direct line of Sōtatsu; however, many questions remain regarding Sōsetsu's identity and oeuvre. This work is likely one of a set of paintings depicting either the Flowers of the Twelve Months or the Flowers of the Four Seasons."
162,Utagawa Kuniteru,Courtesan and Dog,https://www.harvardartmuseums.org/collections/object/202577,male,Asian and Mediterranean Art,Hanging scroll; ink and color on silk,"Grey, White, Grey, Grey, Black, Grey, Grey, Grey","Late Edo to Early Meiji period, mid to late 19th century",19th century,Japanese,Late Edo-early Meiji period
163,Kano Tanyū 狩野探幽,Cluster of Grapes,https://www.harvardartmuseums.org/collections/object/202580,male,Asian and Mediterranean Art,Hanging scroll; ink on silk,"Grey, Grey, Black, Grey, Grey, Grey, White","Early Edo period, mid 17th century",17th century,Japanese,
165,Gao Qipei 高其佩,Monkeys in Landscape,https://www.harvardartmuseums.org/collections/object/202692,unknown,Asian and Mediterranean Art,Accordion-folded album of seven leaves; ink and light colors on paper; wooden al,"Brown, Grey, Yellow, Yellow, Grey, Brown, Grey, Black, Red, Blue",,,Chinese,
166,Yun Shouping 惲壽平,Landscape After Juran (active ca. 960-965),https://www.harvardartmuseums.org/collections/object/202693,unidentified,Asian and Mediterranean Art,Album leaf (one from a set of eight); ink on paper,"Green, Green, Yellow, Green, Green, Green, Grey, Brown",1683,17th century,Chinese,
167,Chou Nien-tsu,White Cat and Red Flowers,https://www.harvardartmuseums.org/collections/object/202700,unknown,Asian and Mediterranean Art,Hanging scroll; colors on silk,"Green, Red, Grey, Orange, Orange, Green, Green, Black, Orange, Green",,,Chinese,
168,Liu Kuo Sung (Liu Guosong) 劉國松,Number 18,https://www.harvardartmuseums.org/collections/object/202703,unknown,Asian and Mediterranean Art,Hanging scroll; ink and light color on paper with signature reading Liu Guosong,"Grey, Grey, Orange, Brown, Brown, Green, Yellow, Yellow, Brown, Red",1968,20th century,Chinese,
169,Kawamura Bunpō 河村文鳳,Village in Mist,https://www.harvardartmuseums.org/collections/object/202705,male,Asian and Mediterranean Art,Hanging scroll; ink and light color on silk,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, White",18th-19th century,18th-19th century,Japanese,
171,Yun Shouping 惲壽平,Landscape After Wu Zhen (1280-1354),https://www.harvardartmuseums.org/collections/object/202804,unidentified,Asian and Mediterranean Art,Album leaf (one from a set of eight); ink on paper,"Green, Green, Yellow, Green, Green, Grey, Green, Red",1683,17th century,Chinese,
172,Guo Zhongshu 郭忠恕,Winter Landscape,https://www.harvardartmuseums.org/collections/object/202806,unknown,Asian and Mediterranean Art,Hanging scroll; ink and light color on silk,"Grey, Grey, White, Grey, Grey, Black",,,Chinese,
173,Yuan Yao 袁燿,Lake and Mountain Scene after Rain in Autumn,https://www.harvardartmuseums.org/collections/object/202808,male,Asian and Mediterranean Art,Hanging scroll(?),"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",dated 1762,18th century,Chinese,
174,Tanoue Kikusha,Pine Islands (Matsushima),https://www.harvardartmuseums.org/collections/object/202835,female,Asian and Mediterranean Art,Hanging scroll; ink on paper,"Grey, Grey, Grey, White, Black, Grey, Grey",19th century,19th century,Japanese,
175,Yun Shouping 惲壽平,Landscape After Wang Meng (ca. 1308-1385),https://www.harvardartmuseums.org/collections/object/202842,unidentified,Asian and Mediterranean Art,Album leaf (one from a set of eight); ink on paper,"Green, Green, Green, Yellow, Green, Green, Grey",1683,17th century,Chinese,
177,Bada Shanren (Zhu Da) 八大山人 (朱耷),SUMI ALBUM LEAF OF THREE LOTUS FLOWERS,https://www.harvardartmuseums.org/collections/object/202955,unknown,Asian and Mediterranean Art,,"Grey, Grey, Black, Grey, Grey, White",,,Chinese,
181,Shōkadō Shōjō,Rocks,https://www.harvardartmuseums.org/collections/object/203173,male,Asian and Mediterranean Art,Hanging scroll: the center of a set of three; ink on paper with brocade mounting,"Brown, Brown, Brown, Brown, Brown","Late Momoyama to Early Edo period, early 17th century",17th century,Japanese,
182,Jiang Song 蒋嵩,Scholars in a Mountain Landscape,https://www.harvardartmuseums.org/collections/object/203262,unknown,Asian and Mediterranean Art,"Hanging scroll; ink and light colors on silk, with a spurious signature reading ""Hsia Kuei""","Brown, Brown, Orange, Brown, Brown, Yellow, Orange, Orange, Orange",1st half 16th century,16th century,Chinese,
183,Bada Shanren (Zhu Da) 八大山人 (朱耷),SEASCAPE WITH TREE AND BOAT,https://www.harvardartmuseums.org/collections/object/203309,unknown,Asian and Mediterranean Art,Hanging scroll,"Brown, Yellow, Yellow, Red, Brown",17th century,17th century,Chinese,
184,Tosa School,"Lovers Parting at Dawn (Episode 14) from the ""Tales of Ise"" (Ise monogatari)",https://www.harvardartmuseums.org/collections/object/203503,unknown,Asian and Mediterranean Art,"One of twelve album leaves; ink, color and gold on paper","Grey, Grey, Black, Grey, Grey, Grey, Grey, White",Late 16th to early 17th century,16th-17th century,Japanese,
185,Tosa School,"Narihira Seeing Smoke on Mount Asama (Episode 8) from the ""Tales of Ise"" (Ise monogatari)",https://www.harvardartmuseums.org/collections/object/203508,unknown,Asian and Mediterranean Art,"One of twelve album leaves; ink, color and gold on paper","Grey, Grey, Grey, Grey, Black, Grey, Grey, White",Late 16th to early 17th century,16th-17th century,Japanese,
191,Tosa School,"Narihira Seeing Snow on Mount Fuji (Episode 9) from the ""Tales of Ise"" (Ise monogatari)",https://www.harvardartmuseums.org/collections/object/203777,unknown,Asian and Mediterranean Art,"One of twelve album leaves; ink, color and gold on paper","Brown, Yellow, Brown, Brown, Orange, Yellow, White",Late 16th to early 17th century,16th-17th century,Japanese,
192,Zhou Wenju 周文矩,In the Palace,https://www.harvardartmuseums.org/collections/object/203790,unknown,Asian and Mediterranean Art,Handscroll; ink and traces of pigment on silk,"Yellow, Brown, Brown",before 1140,12th century,Chinese,"Originally part of a longer scroll copied from a lost work by the Five Dynasties painter Zhou Wenju, this scroll is an important relic of Chinese court figure painting.  Executed in the ""baimiao"" or outline mode with touches of color only in their red hair ribbons and lips, the women and children of these intimate scenes are brought vividly to life by the sensitive brushwork of the artist.  Additional scrolls preserving the other sections of Zhou Wenju's composition are found in the Metropolitan Museum of Art, the Cleveland Museum of Art, and at Villa I Tatti, Florence.  A colophon dated to 1140 and preserved with the Cleveland portion states that this copy of Zhou Wenju's scroll was made for the scholar and critic Zhang Cheng (d. 1143)."
202,Mori Sosen 森狙仙,Monkeys in Pine Tree,https://www.harvardartmuseums.org/collections/object/205901,male,Asian and Mediterranean Art,Hanging scroll; ink and color on silk,"Grey, Grey, Grey, Grey, Grey, White, Grey, Grey, Grey, Grey","Late Edo period, 19th century",19th century,Japanese,
214,Wang Zhenpeng 王振鵬,Elegant Gathering in the Western Garden,https://www.harvardartmuseums.org/collections/object/206490,unknown,Asian and Mediterranean Art,"Small hanging scroll, cut and mounted as an album leaf; ink on paper","Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, White",16th cent. - 17th cent.,16th-17th century,Chinese,
215,Liang Kai 梁楷,Winter Birds,https://www.harvardartmuseums.org/collections/object/206491,unknown,Asian and Mediterranean Art,"Circular fan painting mounted as an album leaf; ink and slight color on silk; with signature reading ""Liang Kai""","Brown, Brown, Green, Grey, Brown, Brown",13th century,13th century,Chinese,
216,Wang E 王諤,Visiting a Friend in a Waterside Pavilion,https://www.harvardartmuseums.org/collections/object/206493,unknown,Asian and Mediterranean Art,Section of a handscroll mounted as a panel; ink and slight color on silk,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",15th -early 16th century,15th-16th century,Chinese,
226,Li Song 李嵩,Sage and Attendant Beneath a Willow,https://www.harvardartmuseums.org/collections/object/209166,unknown,Asian and Mediterranean Art,Circular fan mounted as an album leaf; ink and slight color on silk,"Brown, Brown, Yellow, Brown, Brown, Green",13th century,13th century,Chinese,
230,Wan Shouqi 萬壽祺,Eighteen Lohans,https://www.harvardartmuseums.org/collections/object/209347,unknown,Asian and Mediterranean Art,"Handscroll; gold ink on indigo-blue paper, with a signature reading ""Wan Daoren Shouqi""","Grey, Yellow, Brown, Yellow",dated 1636,17th century,Chinese,
234,Wang Yiting,Feasting on Peaches and Plums on a Spring Evening,https://www.harvardartmuseums.org/collections/object/209688,unknown,Asian and Mediterranean Art,Album leaf; ink and color on silk,"Yellow, Brown, Brown, Orange, Green",late 19th century,19th century,Chinese,
236,Tang Lu,Peonies,https://www.harvardartmuseums.org/collections/object/209729,unknown,Asian and Mediterranean Art,Album leaf; ink and color on silk,"Orange, Yellow, Yellow, Brown, Red, Red, Red, Brown, Red, Red",1877,19th century,Chinese,
237,Zhang Xiong 張熊,Bird on a Blossoming Peach Branch,https://www.harvardartmuseums.org/collections/object/209734,male,Asian and Mediterranean Art,Album leaf; ink and color on paper,"Green, Green, Brown, Green, Red, Yellow, Grey, Red, Red, Grey",1881,19th century,Chinese,
240,Huang Jun 黃均,Appreciating Paintings in the Spring Grass Studio,https://www.harvardartmuseums.org/collections/object/209776,unknown,Asian and Mediterranean Art,"Handscroll; ink and light color on paper, with signature reading ""Guyuan Huang Jun""","Brown, Brown, Brown, Green, Grey",dated 1840,19th century,Chinese,
