,objectid,artist,title,url,stolen,painting
936,11997,Attributed to                              Domenico di Niccolò dei Cori,Angel of the Annunciation,https://www.gardnermuseum.org/experience/collection/11997#object-details,False,True
939,12002,"Spanish, Catalonia",Crucified Christ (from a Descent from the Cross),https://www.gardnermuseum.org/experience/collection/12002#object-details,False,True
942,12010,"Italian, Lombardy",Crucifix,https://www.gardnermuseum.org/experience/collection/12010#object-details,False,True
943,12012,Workshop of                              Giovanni Ambrogio de Donati,St. Peter Martyr,https://www.gardnermuseum.org/experience/collection/12012#object-details,False,True
944,12013,"Italian, Venice",Capital,https://www.gardnermuseum.org/experience/collection/12013#object-details,False,True
946,12017,Giovanni de Fondulis,The Deposition of Christ with Carlotta of Lusignano,https://www.gardnermuseum.org/experience/collection/12017#object-details,False,True
952,12030,French,Brisé Fan: Fête Champêtre Scene,https://www.gardnermuseum.org/experience/collection/12030#object-details,False,True
953,12031,French,Folding Fan: Pastoral Vignettes,https://www.gardnermuseum.org/experience/collection/12031#object-details,False,True
963,12055,Paolo Veronese,Mystic Marriage of Saint Catherine,https://www.gardnermuseum.org/experience/collection/12055#object-details,False,True
964,12056,"Italian, Venice",The Birth of Caterina Cornaro,https://www.gardnermuseum.org/experience/collection/12056#object-details,False,True
965,12057,"Italian, Piedmont",Armchair (Poltrona da parata),https://www.gardnermuseum.org/experience/collection/12057#object-details,False,True
970,12071,French,Bellows,https://www.gardnermuseum.org/experience/collection/12071#object-details,False,True
972,12073,Follower of                              Francesco Guardi,The Torre dell'Orlogio,https://www.gardnermuseum.org/experience/collection/12073#object-details,False,True
973,12074,Francesco Guardi,View of the Riva degli Schiavoni and the Piazzetta from the Bacino di San Marco,https://www.gardnermuseum.org/experience/collection/12074#object-details,False,True
974,12075,Vincenzo di Biagio Catena,Christ Delivering the Keys of Heaven to Saint Peter,https://www.gardnermuseum.org/experience/collection/12075#object-details,False,True
976,12081,"Italian, Central Italy",Table,https://www.gardnermuseum.org/experience/collection/12081#object-details,False,True
978,12085,"Italian, Marches",Vitrine (Teca),https://www.gardnermuseum.org/experience/collection/12085#object-details,False,True
979,12086,"Italian, Venice",Black Glass Madonna,https://www.gardnermuseum.org/experience/collection/12086#object-details,False,True
981,12092,Filippo Lauri,The Vision of Saint Anthony of Padua,https://www.gardnermuseum.org/experience/collection/12092#object-details,False,True
982,12093,"Italian, Venice",Seat from a Gig (Sedia per Calesse o gondola),https://www.gardnermuseum.org/experience/collection/12093#object-details,False,True
984,12097,German,Writing Desk,https://www.gardnermuseum.org/experience/collection/12097#object-details,False,True
988,12105,"Turkish, Iznik",Plate,https://www.gardnermuseum.org/experience/collection/12105#object-details,False,True
990,12107,Italian,The Resurrection,https://www.gardnermuseum.org/experience/collection/12107#object-details,False,True
991,12108,Italian,Decorative Spray,https://www.gardnermuseum.org/experience/collection/12108#object-details,False,True
996,12114,Thomas Whieldon,Plate,https://www.gardnermuseum.org/experience/collection/12114#object-details,False,True
999,12120,"Italian, Venice",Dolphin Candlestick,https://www.gardnermuseum.org/experience/collection/12120#object-details,False,True
1006,12132,Giovanni Domenico Tiepolo,The Wedding of Frederick Barbarossa to Beatrice of Burgundy,https://www.gardnermuseum.org/experience/collection/12132#object-details,False,True
